customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0038-WQTSF,2021-05-01,Paid,2024-05-01,Premium,Monthly,,,23.12,1199,48,0,paresh,Nepal,Telangana,Male,1990-05-06,,,,
0035-VCCTV,2020-12-25,Organic,2023-12-25,Premium,Annual,2021-06-09,Poor streaming quality,21.25,98,77,1,seema,India,Karnataka,Female,1975-06-26,,,,
0037-JOCHF,2022-12-10,Paid,2024-12-10,Standard,Annual,2023-04-20,Not enough content,13.02,54,73,1,manish,India,Maharashtra,Male,1978-02-03,,,,
0035-TFKIJ,2023-03-26,Organic,2027-03-26,Premium,Monthly,2026-10-19,Found free alternative,21.4,904,85,1,deepak,India,West Bengal,Male,1976-12-24,2024-12-19,N,19.0,1.0
0099-MRBKP,2023-04-15,Paid,2027-04-15,Standard,Annual,2024-03-04,Technical issues,13.59,136,96,1,aarav,India,Uttar Pradesh,Female,2004-06-03,2024-03-14,N,10.0,1.0
0026-LCILK,2020-10-27,Organic,2021-10-27,Basic,Annual,,,9.75,517,56,0,arvind,India,Bihar,Male,1988-03-03,,,,
0091-CWTFU,2023-05-09,Organic,2025-05-09,Standard,Annual,,,17.78,439,31,0,ishaan,Nepal,Pokhara,Male,1992-11-16,2025-11-02,Y,27.0,1.0
0083-TTLYO,2021-08-18,Paid,2024-08-18,Standard,Annual,2023-02-01,Found free alternative,15.95,246,65,1,arvind,India,West Bengal,Female,1989-09-23,2024-03-19,Y,83.0,1.0
0073-MOUXL,2019-11-05,Refferal,2022-11-05,Basic,Annual,2021-10-26,Not enough content,9.42,205,92,1,sonal,India,Uttar Pradesh,Male,1991-05-03,,,,
0080-NPJXK,2019-05-15,Organic,2022-05-15,Standard,Monthly,,,16.38,1250,33,0,sunil,India,West Bengal,Female,1999-01-14,,,,
0043-IPDJZ,2020-09-26,Organic,2022-09-26,Premium,Annual,2022-05-18,Too expensive,24.95,487,86,1,sanjay,India,Kerala,Male,2001-10-18,,,,
0070-AIYIT,2023-09-26,Organic,2025-09-26,Basic,Monthly,2024-05-09,Not enough content,8.0,59,77,1,isha,India,Telangana,Female,1973-06-18,,,,
0045-SBJSZ,2020-09-25,Paid,2024-09-25,Standard,Monthly,,,16.38,1002,60,0,kiran,Nepal,Gujarat,Female,1993-12-15,,,,
0077-ZVUDG,2023-10-10,Refferal,2026-10-10,Basic,Annual,,,9.28,181,58,0,vinod,Nepal,Kathmandu,Male,1974-08-08,,,,
0052-VXYKK,2019-02-27,Organic,2021-02-27,Standard,Monthly,2020-08-23,Not enough content,16.24,307,18,1,dinesh,Nepal,Telangana,Male,1986-10-26,,,,
0024-XAFDY,2020-05-01,Refferal,2024-05-01,Standard,Monthly,,,14.18,950,9,0,pooja,Nepal,Pokhara,Male,2004-10-25,,,,
0026-QOSHA,2021-12-08,Organic,2022-12-08,Standard,Monthly,,,15.71,613,50,0,mahesh,Nepal,Telangana,Female,1999-10-21,2024-09-16,Y,50.0,1.0
0068-GRCPT,2023-08-28,Organic,2025-08-28,Premium,Annual,2025-02-06,Switched to competitor,23.38,381,18,1,yash,India,Karnataka,Male,1985-03-09,2024-02-12,N,44.0,1.0
0074-ZOGTE,2021-06-13,Paid,2023-06-13,Standard,Annual,,,14.69,700,64,0,mahesh,India,Karnataka,Male,1975-08-02,,,,
0058-USCPV,2022-09-15,Paid,2026-09-15,Standard,Annual,,,16.0,527,22,0,usha,India,Gujarat,Male,1973-08-04,2025-09-21,N,40.0,1.0
0033-RKNTE,2020-04-28,Paid,2021-04-28,Premium,Annual,2021-02-12,No longer needed,22.9,200,78,1,vihaan,India,Rajasthan,Male,1975-08-31,,,,
0097-DJIHY,2019-08-30,Organic,2022-08-30,Standard,Annual,,,15.22,999,89,0,vihaan,India,Meghalaya,Male,1987-05-12,,,,
0081-ESZVZ,2023-12-31,Organic,2025-12-31,Standard,Monthly,,,16.54,275,47,0,ramesh,India,Punjab,Male,1994-04-27,2024-08-30,N,8.0,1.0
0094-OMZDW,2021-12-12,Organic,2024-12-12,Standard,Annual,2023-06-02,No longer needed,13.36,210,83,1,ishaan,Nepal,Gujarat,Female,2002-03-31,,,,
0094-QEZLX,2020-10-22,Paid,2023-10-22,Premium,Monthly,,,25.73,1506,11,0,krishna,India,Nagaland,Male,1977-05-21,,,,
0040-QPCQP,2020-11-22,Refferal,2023-11-22,Premium,Monthly,2022-08-29,Technical issues,21.4,460,84,1,neha,India,Rajasthan,Female,1998-01-05,2025-10-19,N,66.0,1.0
0075-HBBLM,2023-02-12,Refferal,2024-02-12,Standard,Annual,,,16.79,450,41,0,kavya,India,West Bengal,Male,2002-03-23,,,,
0042-CHJPG,2020-01-24,Organic,2023-01-24,Basic,Annual,2022-11-16,Technical issues,8.39,285,64,1,bhavna,India,Meghalaya,Male,2002-05-07,,,,
0051-PBHPV,2021-06-01,Organic,2025-06-01,Basic,Annual,2021-11-12,Poor streaming quality,8.09,39,47,1,pradeep,Nepal,Kathmandu,Male,1970-05-14,2025-09-30,Y,21.0,2.0
0074-JZOJD,2019-03-21,Paid,2021-03-21,Basic,Annual,,,8.55,705,78,0,pooja,Nepal,Pokhara,Male,1971-10-22,2025-09-23,N,80.0,2.0
